Time (min),ERK data,ERK data_StdDev,JNK1 data,JNK1 data_StdDev,p38 data,p38 data_StdDev,Number_of_levels
0,12,2.1,2,0.06,3,0.14,100
5,18,4.99,8,0.28,36,6.05,
15,40,3.47,54,9.04,58,1.28,
30,31,5.6,68,2.49,53,1.97,
60,13,3.33,14,3,17,1.48,
120,12,1.24,11,0.76,20,1.13,
240,9,0.42,13,0.84,25,2.03,
480,4,0.66,9,1.31,11,1.06,
