Time (min),ERK data,ERK data_StdDev,JNK1 data,JNK1 data_StdDev,p38 data,p38 data_StdDev,Number_of_levels
0,22,4.6,4,0.88,4,0.67,100
5,19,3.72,33,6.9,90,14.64,
15,100,10.4,76,1.91,100,2.9,
30,86,11.46,100,14.38,83,9.92,
60,43,0.89,16,2.55,23,1.94,
120,43,2.62,13,1.47,24,0.58,
240,17,3.48,19,1.9,30,3.71,
480,7,2.5,15,1.54,14,1.62,
